虾吃虾涮（天坛店）	4.7	80	东城区幸福大街57号（天坛饭店北100米，红剧场对面）
四川仁火锅（双井店）	4.7	89	朝阳区八棵杨甲1号南(北京歌剧舞剧院南)
老诚一锅（看丹桥店）	3.8	55	丰台区韩庄子195号（京铁丰台招待所大门南侧）
简阳羊肉汤（永泰庄店）	3.7	57	海淀区永泰庄地铁口（永泰庄北路，权金城往东50米路北）
张亮麻辣烫（翠微店）	4	20	海淀区万寿路东街双城宾馆西50米食为天旁
虾吃虾涮（永旺店）	3.3	71	昌平区北清路珠江摩尔国际大厦8号楼底商3号（麦当劳旁）
老城一锅（芍药居店）	4	57	朝阳区芍药居北里甲207号楼山水酒店底商南侧部分（徐记鸡爪王旁）
龙继斑鱼庄	4.1	73	通州区车站路中仓小区外（近西顺城街东方小学）
秀海福骨汤麻辣烫	4.1	20	海淀区龙背村路物美超市1楼（地铁安河桥北站旁物美超市门口附近）
虾吃虾涮（总店）	3.3	64	通州区果园环岛西北角新华南路如家酒店底商(果园环岛)
老诚一锅（天竺店）	5	80	顺义区天竺镇府前一街26号
东来顺（银泰百货大红门店）	3.3	82	丰台区马家堡东路101号院10号楼银泰百货5层（地铁10号线D口直通商场）
张亮麻辣烫（志新桥店）	4.4	21	海淀区志新桥北西侧公交站台后志新村32号楼一楼底商
黄记煌三汁焖锅（BHG华联百货店）	3.5	80	海淀区成府路28号BHG华联百货B1层
渔村鱼铁锅捞酒家	3.9	87	海淀区采石北路105号(橙天嘉禾影院对面)
姚记羊蝎子（回龙观店）	4.7	64	昌平区育知西路风雅园三区3号楼底商速8酒店楼下
王林串串香火锅（松园路店）	3.2	49	昌平区松园路45号
新辣道鱼火锅（喜隆多店）	4.2	88	石景山区阜石路300号喜隆多购物广场4楼418
玛喜达韩国年糕料理（城乡世纪广场店）	3.3	53	大兴区科创五街38号城乡世纪广场D座4层
老诚一锅（良乡南关店）	4.5	65	房山区良乡拱辰南大街南关嘉瑞通小区4-4号（地铁房山线南关地铁站出口）
鲜尚轩三秒涮鱼（石景山八角店）	3.8	81	石景山区古城东街32号（原金旺旺）
张亮麻辣烫（物资学院店）	4.5	20	通州区永顺镇物资学院路3号（中国电信旁边）
